Profile Analysis
Project Root: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith
Profile File: C:\Users\aspec\Documents\INF8175-PROJECT\Xenith\pipeline\out\profile_stats
Total Functions Found: 380

+--------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                       Top 500 Project Functions by 'total_time'                                                        |
+-----------------------------------------------------------------------------+----------+----------------+--------------+----------------+--------------+
|                                   Function                                  |  Calls   | Total Time (s) | Per Call (s) | Cumulative (s) | Cum/Call (s) |
|                       _reset_tree (tree_manager.py:58)                      |    4     |  0.000010800   | 0.000002700  |  0.000175700   | 0.000043925  |
|                         __init__ (ice_engine.py:19)                         |    1     |  0.000010400   | 0.000010400  |  0.008268000   | 0.008268000  |
|                  <module> (ice_engine_pattern_finders.py:1)                 |    1     |  0.000010400   | 0.000010400  |  0.001197100   | 0.001197100  |
|                       CarrierList (carrier_list.py:12)                      |    1     |  0.000010300   | 0.000010300  |  0.000365500   | 0.000365500  |
|                           <module> (or_list.py:1)                           |    1     |  0.000010100   | 0.000010100  |  0.000169100   | 0.000169100  |
|                              cons (board.py:81)                             |    5     |  0.000009400   | 0.000001880  |  0.000009400   | 0.000001880  |
|                      <module> (hashed_pattern_set.py:1)                     |    1     |  0.000009200   | 0.000009200  |  0.021151100   | 0.021151100  |
|     FieldPropagationPatternStore (field_propagation_pattern_store.py:17)    |    1     |  0.000009200   | 0.000009200  |  0.000011200   | 0.000011200  |
|                  Zobrist (inc_zobrist_hasher_tracker.py:11)                 |    1     |  0.000009000   | 0.000009000  |  0.000014000   | 0.000014000  |
|          IceEngineDeadVulnerable (ice_engine_dead_vulnerable.py:15)         |    1     |  0.000008900   | 0.000008900  |  0.000008900   | 0.000008900  |
|                        <module> (value_objects.py:1)                        |    1     |  0.000008800   | 0.000008800  |  0.001130400   | 0.001130400  |
|                   __init__ (inc_empty_cells_tracker.py:9)                   |    1     |  0.000008800   | 0.000008800  |  0.000026300   | 0.000026300  |
|                      <module> (ice_engine_helpers.py:1)                     |    1     |  0.000008700   | 0.000008700  |  0.001033500   | 0.001033500  |
|                           <module> (and_list.py:1)                          |    1     |  0.000008200   | 0.000008200  |  0.001327200   | 0.001327200  |
|                         get_n_positions (vcs.py:107)                        |    42    |  0.000008200   | 0.000000195  |  0.000008200   | 0.000000195  |
|                            <module> (groups.py:1)                           |    1     |  0.000008000   | 0.000008000  |  0.000083900   | 0.000083900  |
